Base,Reranker,Metric,Value,Optimization,Protected
SLIM,FAR,PSP,-0.773,Joint-2%,COUNTRY_low_pfr
RankALS,FAR,PSP,-0.723,Joint-2%,COUNTRY_low_pfr
BPR,FairStar,PSP,-0.71,Joint-2%,COUNTRY_low_pfr
BMF,FairStar,PSP,-0.715,Joint-2%,COUNTRY_low_pfr
SLIM,FairStar,PSP,-0.773,Joint-2%,COUNTRY_low_pfr
RankALS,FairStar,PSP,-0.723,Joint-2%,COUNTRY_low_pfr
BPR,PFAR,PSP,-0.249,Joint-2%,COUNTRY_low_pfr
BMF,PFAR,PSP,-0.486,Joint-2%,COUNTRY_low_pfr
SLIM,PFAR,PSP,-0.773,Joint-2%,COUNTRY_low_pfr
RankALS,PFAR,PSP,-0.723,Joint-2%,COUNTRY_low_pfr
BPR,None,PSP,-0.828,Original,
BMF,None,PSP,-0.628,Original,
SLIM,None,PSP,-0.773,Original,
RankALS,None,PSP,-0.723,Original,
BPR,FAR,PSP,-0.328,Separate,Loan Bucket 5
BMF,FAR,PSP,0.107,Separate,Loan Bucket 5
SLIM,FAR,PSP,-0.094,Separate,Loan Bucket 5
RankALS,FAR,PSP,-0.321,Separate,Loan Bucket 5
BPR,FairStar,PSP,-0.603,Separate,Loan Bucket 5
BMF,FairStar,PSP,0.106,Separate,Loan Bucket 5
SLIM,FairStar,PSP,-0.094,Separate,Loan Bucket 5
RankALS,FairStar,PSP,-0.331,Separate,Loan Bucket 5
BPR,PFAR,PSP,-0.377,Separate,Loan Bucket 5
BMF,PFAR,PSP,-0.326,Separate,Loan Bucket 5
SLIM,PFAR,PSP,-0.141,Separate,Loan Bucket 5
RankALS,PFAR,PSP,-0.368,Separate,Loan Bucket 5
BPR,FAR,PSP,-0.64,Joint,Loan Bucket 5
BMF,FAR,PSP,-0.202,Joint,Loan Bucket 5
SLIM,FAR,PSP,-0.202,Joint,Loan Bucket 5
RankALS,FAR,PSP,-0.368,Joint,Loan Bucket 5
BPR,FairStar,PSP,-0.61,Joint,Loan Bucket 5
SLIM,FairStar,PSP,-0.345,Joint,Loan Bucket 5
RankALS,FairStar,PSP,-0.37,Joint,Loan Bucket 5
BPR,PFAR,PSP,-0.64,Joint,Loan Bucket 5
BMF,PFAR,PSP,-0.198,Joint,Loan Bucket 5
SLIM,PFAR,PSP,-0.177,Joint,Loan Bucket 5
RankALS,PFAR,PSP,-0.368,Joint,Loan Bucket 5
BPR,FAR,PSP,-0.29,Joint-5%,Loan Bucket 5
BMF,FAR,PSP,0.107,Joint-5%,Loan Bucket 5
SLIM,FAR,PSP,-0.206,Joint-5%,Loan Bucket 5
RankALS,FAR,PSP,-0.345,Joint-5%,
BPR,FairStar,PSP,-0.603,Joint-5%,Loan Bucket 5
BMF,FairStar,PSP,0.106,Joint-5%,Loan Bucket 5
SLIM,FairStar,PSP,-0.311,Joint-5%,Loan Bucket 5
RankALS,FairStar,PSP,-0.511,Joint-5%,Loan Bucket 5
BPR,PFAR,PSP,-0.292,Joint-5%,Loan Bucket 5
BMF,PFAR,PSP,0.107,Joint-5%,Loan Bucket 5
SLIM,PFAR,PSP,-0.206,Joint-5%,Loan Bucket 5
RankALS,PFAR,PSP,-0.331,Joint-5%,Loan Bucket 5
BPR,FAR,PSP,-0.29,Joint-2%,Loan Bucket 5
BMF,FAR,PSP,-0.486,Joint-2%,Loan Bucket 5
SLIM,FAR,PSP,-0.773,Joint-2%,Loan Bucket 5
RankALS,FAR,PSP,-0.723,Joint-2%,
BPR,FairStar,PSP,0.107,Joint-2%,Loan Bucket 5
BMF,FairStar,PSP,0.0461,Joint-2%,Loan Bucket 5
SLIM,FairStar,PSP,-0.773,Joint-2%,Loan Bucket 5
RankALS,FairStar,PSP,-0.723,Joint-2%,Loan Bucket 5
BPR,PFAR,PSP,-0.7467,Joint-2%,Loan Bucket 5
BMF,PFAR,PSP,-0.615,Joint-2%,Loan Bucket 5
